Place,2020 Total Population,,,
Jefferson town,2551,,,
Louds Island UT,3,,,
Monhegan plantation,64,,,
Newcastle town,1848,,,
Nobleboro town,1791,,,
Somerville town,600,,,
South Bristol town,1127,,,
Southport town,622,,,
Waldoboro town,5154,,,
Westport Island town,719,,,
Whitefield town,2408,,,
Wiscasset town,3742,,,
Andover town,752,,,
Bethel town,2504,,,
Brownfield town,1631,,,
Buckfield town,1983,,,
Byron town,103,,,
Canton town,1125,,,
Denmark town,1197,,,
Dixfield town,2253,,,
Fryeburg town,3369,,,
Gilead town,195,,,
Greenwood town,774,,,
Hanover town,286,,,
Hartford town,1203,,,
Hebron town,1223,,,
Hiram town,1609,,,
Lincoln plantation,41,,,
Lovell town,1104,,,
Magalloway plantation,45,,,
Mexico town,2756,,,
Milton UT,150,,,
Newry town,411,,,
North Oxford UT,16,,,
Norway town,5077,,,
Otisfield town,1853,,,
Oxford town,4229,,,
Paris town,5179,,,
Peru town,1488,,,
Porter town,1600,,,
Roxbury town,361,,,
Rumford town,5858,,,
South Oxford UT,591,,,
Stoneham town,261,,,
Stow town,393,,,
Sumner town,994,,,
Sweden town,406,,,
Upton town,69,,,
Waterford town,1570,,,
West Paris town,1766,,,
Woodstock town,1352,,,
Alton town,829,,,
Argyle UT,255,,,
Bangor city,31753,,,
Bradford town,1184,,,
Bradley town,1532,,,
Brewer city,9672,,,
Burlington town,373,,,
Carmel town,2867,,,
Carroll plantation,138,,,
Charleston town,1551,,,
Chester town,549,,,
Clifton town,840,,,
Corinna town,2221,,,
Corinth town,2900,,,
Dexter town,3803,,,
Dixmont town,1211,,,
Drew plantation,26,,,
East Central Penobscot UT,308,,,
East Millinocket town,1572,,,
Eddington town,2194,,,
Edinburg town,134,,,
Enfield town,1435,,,
Etna town,1226,,,
Exeter town,963,,,
Garland town,1026,,,
Glenburn town,4648,,,
Greenbush town,1444,,,
Hampden town,7709,,,
Hermon town,6461,,,
Holden town,3277,,,
Howland town,1094,,,
Hudson town,1416,,,
Kenduskeag town,1346,,,
Kingman UT,137,,,
Lagrange town,635,,,
Lakeville town,104,,,
Lee town,916,,,
Levant town,2940,,,
Lincoln town,4853,,,
Lowell town,368,,,
Mattawamkeag town,596,,,
Maxfield town,89,,,
Medway town,1187,,,
Milford town,3069,,,
Millinocket town,4114,,,
